TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2021,3,5,3,0,10XX ROBSON ST,West End,491004.6735,5459024.777
Break and Enter Commercial,2021,9,8,2,18,10XX ROBSON ST,West End,491039.1483,5458990.71
Break and Enter Commercial,2021,1,24,17,50,10XX ROBSON ST,West End,491045.5704,5458984.363
Break and Enter Commercial,2021,12,5,23,42,10XX SEYMOUR ST,Central Business District,491035.1506,5458335.945
Break and Enter Commercial,2021,1,30,19,42,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,2,15,17,35,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,7,21,5,37,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,11,10,6,45,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,11,28,3,30,10XX SEYMOUR ST,Central Business District,491097.2605,5458412.134
Break and Enter Commercial,2021,9,3,0,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2021,11,24,1,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2021,7,10,20,1,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2021,12,30,0,0,10XX W 14TH AVE,Fairview,490697.768,5456231.33
Break and Enter Commercial,2021,5,8,22,23,10XX W BROADWAY AVE,Fairview,490635.9675,5456745.126
Break and Enter Commercial,2021,2,13,18,0,10XX W BROADWAY AVE,Fairview,490645.9489,5456744.871
Break and Enter Commercial,2021,6,15,13,20,10XX W BROADWAY AVE,Fairview,490670.584,5456744.24
Break and Enter Commercial,2021,2,8,12,40,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.811
Break and Enter Commercial,2021,6,3,22,57,10XX W BROADWAY AVE,Fairview,490731.1096,5456742.691
Break and Enter Commercial,2021,7,9,11,5,10XX W GEORGIA ST,West End,491128.3155,5459137.863
Break and Enter Commercial,2021,7,25,5,53,10XX W PENDER ST,Central Business District,491263.9592,5459407.591
Break and Enter Commercial,2021,1,4,3,30,10XX W PENDER ST,Central Business District,491334.3085,5459373.682
Break and Enter Commercial,2021,1,11,5,50,10XX W PENDER ST,Central Business District,491334.3085,5459373.682
Break and Enter Commercial,2021,3,20,16,53,10XX W PENDER ST,Central Business District,491334.3085,5459373.682
Break and Enter Commercial,2021,10,28,1,50,10XX W PENDER ST,Central Business District,491334.3085,5459373.682
Break and Enter Commercial,2021,9,23,2,40,10XX W WATERFRONT RD,Central Business District,491431.4397,5459569.435
Break and Enter Commercial,2021,1,12,8,53,11XX ALBERNI ST,West End,490894.9534,5459283.887
Break and Enter Commercial,2021,5,30,12,52,11XX ALBERNI ST,West End,490918.5751,5459261.007
Break and Enter Commercial,2021,4,30,2,30,11XX ALBERNI ST,West End,491001.9697,5459192.958
Break and Enter Commercial,2021,6,14,5,10,11XX BARCLAY ST,West End,490719.7587,5458990.734
Break and Enter Commercial,2021,5,22,1,0,11XX BARCLAY ST,West End,490749.3026,5458973.899
Break and Enter Commercial,2021,5,27,15,54,11XX BARCLAY ST,West End,490749.3026,5458973.899
Break and Enter Commercial,2021,3,12,0,0,11XX BIDWELL ST,West End,489821.5559,5459300.2
Break and Enter Commercial,2021,12,8,4,49,11XX BIDWELL ST,West End,489821.5559,5459300.2
Break and Enter Commercial,2021,2,5,19,30,11XX BROUGHTON ST,West End,490203.1403,5459113.688
Break and Enter Commercial,2021,1,25,15,40,11XX BURNABY ST,West End,490317.8309,5458622.134
Break and Enter Commercial,2021,1,22,6,35,11XX BURRARD ST,Central Business District,490652.6966,5458531.065
Break and Enter Commercial,2021,11,10,19,0,11XX BURRARD ST,Central Business District,490652.6966,5458531.065
Break and Enter Commercial,2021,8,1,3,40,11XX BUTE ST,West End,490346.8568,5458842.259
Break and Enter Commercial,2021,10,17,0,46,11XX BUTE ST,West End,490346.8568,5458842.259
Break and Enter Commercial,2021,3,15,4,9,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.627
Break and Enter Commercial,2021,1,8,21,0,11XX COMMERCIAL DR,Grandview-Woodland,494935.803,5457925.347
Break and Enter Commercial,2021,4,6,14,39,11XX DAVIE ST,West End,490360.0777,5458725.767
Break and Enter Commercial,2021,5,29,8,10,11XX DAVIE ST,West End,490360.0777,5458725.767
Break and Enter Commercial,2021,6,7,16,22,11XX DAVIE ST,West End,490360.0777,5458725.767
Break and Enter Commercial,2021,5,13,10,28,11XX DAVIE ST,West End,490377.2503,5458708.248
Break and Enter Commercial,2021,6,3,3,1,11XX DAVIE ST,West End,490377.2503,5458708.248
Break and Enter Commercial,2021,11,12,6,22,11XX DAVIE ST,West End,490417.9352,5458679.802
Break and Enter Commercial,2021,6,23,3,0,11XX DAVIE ST,West End,490437.0686,5458647.219
Break and Enter Commercial,2021,7,6,2,7,11XX DAVIE ST,West End,490446.4503,5458650.71
Break and Enter Commercial,2021,4,14,2,43,11XX DAVIE ST,West End,490449.3018,5458647.801
Break and Enter Commercial,2021,5,25,3,45,11XX DAVIE ST,West End,490449.3018,5458647.801
Break and Enter Commercial,2021,8,6,3,30,11XX DENMAN ST,West End,489719.0614,5459439.601
Break and Enter Commercial,2021,11,16,7,9,11XX DENMAN ST,West End,489786.1324,5459493.893
Break and Enter Commercial,2021,8,22,8,25,11XX E GEORGIA ST,Strathcona,494116.6686,5458385.149
Break and Enter Commercial,2021,7,8,2,59,11XX E HASTINGS ST,Strathcona,494132.2128,5458699.092
Break and Enter Commercial,2021,6,20,16,51,11XX FORGE WALK,Fairview,490541.3679,5457194.198
Break and Enter Commercial,2021,7,15,6,11,11XX FOUNDRY QUAY,Fairview,490503.7254,5457215.153
Break and Enter Commercial,2021,5,5,17,30,11XX FRANKLIN ST,Strathcona,494162.8569,5458837.427
Break and Enter Commercial,2021,3,21,3,0,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2021,5,6,18,0,11XX FRANKLIN ST,Strathcona,494211.5714,5458836.549
Break and Enter Commercial,2021,2,12,3,30,11XX GILFORD ST,West End,489677.2724,5459612.682
Break and Enter Commercial,2021,6,9,4,0,11XX GILFORD ST,West End,489677.2724,5459612.682
Break and Enter Commercial,2021,11,24,19,0,11XX GRANT ST,Strathcona,494207.007,5457637.014
Break and Enter Commercial,2021,1,15,8,4,11XX GRANT ST,Strathcona,494257.3745,5457645.89
Break and Enter Commercial,2021,4,6,0,0,11XX GRANVILLE ST,Central Business District,490868.4229,5458327.988
Break and Enter Commercial,2021,2,10,3,0,11XX GRANVILLE ST,Central Business District,490910.8728,5458370.663
Break and Enter Commercial,2021,1,22,5,55,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2021,1,24,5,25,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2021,10,18,7,2,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.466
Break and Enter Commercial,2021,12,20,5,10,11XX HAMILTON ST,Central Business District,491088.8721,5458037.895
Break and Enter Commercial,2021,5,23,4,0,11XX HAMILTON ST,Central Business District,491126.5893,5458062.858
Break and Enter Commercial,2021,4,16,4,46,11XX HAMILTON ST,Central Business District,491137.7915,5458074.123
Break and Enter Commercial,2021,10,9,7,30,11XX HAMILTON ST,Central Business District,491169.8317,5458106.345
Break and Enter Commercial,2021,5,26,18,0,11XX HAMILTON ST,Central Business District,491180.5117,5458117.085
Break and Enter Commercial,2021,2,11,6,15,11XX HARO ST,West End,490800.6769,5459060.294
Break and Enter Commercial,2021,5,25,6,2,11XX HARO ST,West End,490800.6769,5459060.294
Break and Enter Commercial,2021,7,15,4,0,11XX HARWOOD ST,West End,490225.1858,5458548.41
Break and Enter Commercial,2021,3,4,0,0,11XX HOMER ST,Central Business District,491082.9524,5458117.566
Break and Enter Commercial,2021,5,17,5,40,11XX HOMER ST,Central Business District,491082.9524,5458117.566
Break and Enter Commercial,2021,12,8,23,40,11XX HOMER ST,Central Business District,491106.4996,5458140.988
Break and Enter Commercial,2021,4,16,5,32,11XX HOMER ST,Central Business District,491106.5262,5458128.117
Break and Enter Commercial,2021,4,6,8,13,11XX HOMER ST,Central Business District,491117.2295,5458138.764
Break and Enter Commercial,2021,4,21,14,0,11XX HOMER ST,Central Business District,491117.2295,5458138.764
Break and Enter Commercial,2021,9,29,6,16,11XX HORNBY ST,Central Business District,490740.8735,5458469.754
Break and Enter Commercial,2021,2,20,18,3,11XX HORNBY ST,Central Business District,490749.4559,5458491.822
Break and Enter Commercial,2021,6,7,9,44,11XX HORNBY ST,Central Business District,490762.516,5458492.191
Break and Enter Commercial,2021,12,26,2,54,11XX HOWE ST,Central Business District,490776.4628,5458368.045
Break and Enter Commercial,2021,1,2,16,0,11XX HOWE ST,Central Business District,490828.7603,5458434.037
Break and Enter Commercial,2021,2,5,8,57,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2021,9,15,3,0,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2021,10,29,10,27,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494072.8295,5455566.206
Break and Enter Commercial,2021,4,26,12,58,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494173.9265,5455494.168
Break and Enter Commercial,2021,1,6,2,38,11XX MAIN ST,Central Business District,492719.7044,5457961.239
Break and Enter Commercial,2021,9,13,22,36,11XX MAIN ST,Central Business District,492719.7044,5457961.239
Break and Enter Commercial,2021,7,4,6,54,11XX MAIN ST,Central Business District,492721.5119,5458013.169
Break and Enter Commercial,2021,12,11,15,0,11XX MAINLAND ST,Central Business District,491142.8658,5458001.631
Break and Enter Commercial,2021,12,23,0,0,11XX MAINLAND ST,Central Business District,491174.4426,5458032.915
Break and Enter Commercial,2021,5,21,10,33,11XX MAINLAND ST,Central Business District,491174.587,5458033.058
Break and Enter Commercial,2021,7,1,18,0,11XX MAINLAND ST,Central Business District,491174.587,5458033.058
Break and Enter Commercial,2021,12,23,4,14,11XX MAINLAND ST,Central Business District,491201.8392,5458072.93
Break and Enter Commercial,2021,7,11,4,0,11XX MELVILLE ST,Central Business District,491076.9743,5459365.16
Break and Enter Commercial,2021,10,24,10,53,11XX MELVILLE ST,Central Business District,491076.9743,5459365.16
Break and Enter Commercial,2021,9,6,12,0,11XX MELVILLE ST,Central Business District,491105.7434,5459337.325
Break and Enter Commercial,2021,7,20,4,43,11XX MELVILLE ST,Central Business District,491117.6931,5459313.04
Break and Enter Commercial,2021,11,7,6,55,11XX PACIFIC BLVD,Central Business District,491207.8565,5457956.27
Break and Enter Commercial,2021,5,30,4,26,11XX PACIFIC BLVD,Central Business District,491291.1095,5457960.502
Break and Enter Commercial,2021,5,26,1,30,11XX QUEBEC ST,Central Business District,492601.7051,5457942.262
Break and Enter Commercial,2021,2,9,4,19,11XX RICHARDS ST,Central Business District,491059.8322,5458225.429
Break and Enter Commercial,2021,10,14,21,0,11XX ROBSON ST,West End,490780.3632,5459235.034
Break and Enter Commercial,2021,12,6,5,2,11XX ROBSON ST,West End,490783.7617,5459244.564
Break and Enter Commercial,2021,6,2,17,17,11XX ROBSON ST,West End,490819.502,5459195.943
Break and Enter Commercial,2021,2,26,3,48,11XX ROBSON ST,West End,490827.9425,5459187.512
Break and Enter Commercial,2021,1,2,7,21,11XX ROBSON ST,West End,490859.7257,5459168.691
Break and Enter Commercial,2021,8,19,4,41,11XX ROBSON ST,West End,490882.2335,5459146.211
Break and Enter Commercial,2021,11,13,1,0,11XX ROBSON ST,West End,490909.5334,5459106.02
Break and Enter Commercial,2021,9,4,7,10,11XX ROBSON ST,West End,490913.1821,5459115.3
Break and Enter Commercial,2021,11,7,6,16,11XX ROBSON ST,West End,490915.9953,5459112.49
Break and Enter Commercial,2021,6,20,13,5,11XX SE MARINE DR,Sunset,493932.9192,5450918.861
Break and Enter Commercial,2021,4,12,20,14,11XX SEYMOUR ST,Central Business District,490943.0067,5458256.608
Break and Enter Commercial,2021,12,3,10,43,11XX SEYMOUR ST,Central Business District,490943.0067,5458256.608
Break and Enter Commercial,2021,11,16,3,52,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
Break and Enter Commercial,2021,4,24,2,33,11XX STEWART ST,Strathcona,494314.7694,5458996.769
Break and Enter Commercial,2021,7,26,8,51,11XX THURLOW ST,West End,490555.7889,5458741.665
Break and Enter Commercial,2021,7,19,0,0,11XX W 10TH AVE,Fairview,490500.245,5456651.076
Break and Enter Commercial,2021,6,9,10,17,11XX W 11TH AVE,Fairview,490546.3489,5456537.856
Break and Enter Commercial,2021,3,2,22,0,11XX W 13TH AVE,Fairview,490549.2045,5456327.884
Break and Enter Commercial,2021,12,13,9,2,11XX W 7TH AVE,Fairview,490515.7596,5456942.928
Break and Enter Commercial,2021,6,16,7,34,11XX W 8TH AVE,Fairview,490595.9296,5456857.314
Break and Enter Commercial,2021,6,9,2,30,11XX W BROADWAY AVE,Fairview,490561.2828,5456747.156
Break and Enter Commercial,2021,9,6,3,16,11XX W GEORGIA ST,Central Business District,490967.3844,5459309.725
Break and Enter Commercial,2021,3,8,19,0,11XX W PENDER ST,Central Business District,491040.1606,5459519.347
Break and Enter Commercial,2021,10,15,18,0,11XX W PENDER ST,Central Business District,491040.1606,5459519.347
Break and Enter Commercial,2021,8,30,18,53,11XX W PENDER ST,Central Business District,491056.0568,5459502.077
Break and Enter Commercial,2021,12,5,1,56,11XX W PENDER ST,Central Business District,491150.5214,5459459.137
Break and Enter Commercial,2021,1,15,9,24,11XX W PENDER ST,Central Business District,491170.2015,5459450.192
Break and Enter Commercial,2021,6,14,3,15,11XX W PENDER ST,Central Business District,491170.2015,5459450.192
Break and Enter Commercial,2021,8,5,5,10,11XX W PENDER ST,Central Business District,491170.2015,5459450.192
Break and Enter Commercial,2021,12,5,2,15,11XX W PENDER ST,Central Business District,491170.2015,5459450.192
Break and Enter Commercial,2021,12,5,2,20,11XX W PENDER ST,Central Business District,491170.2015,5459450.192
Break and Enter Commercial,2021,4,25,5,0,11XX W PENDER ST,Central Business District,491205.6258,5459434.089
Break and Enter Commercial,2021,8,31,21,30,12XX BEACH AVE,West End,489999.8699,5458560.893
Break and Enter Commercial,2021,7,20,0,0,12XX BIDWELL ST,West End,489727.7164,5459217.15
Break and Enter Commercial,2021,5,7,23,0,12XX BIDWELL ST,West End,489793.4799,5459271.276
Break and Enter Commercial,2021,5,14,3,30,12XX BIDWELL ST,West End,489793.4799,5459271.276
Break and Enter Commercial,2021,9,20,9,6,12XX BIDWELL ST,West End,489793.4799,5459271.276
Break and Enter Commercial,2021,4,10,3,0,12XX BURNABY ST,West End,490152.2575,5458787.773
Break and Enter Commercial,2021,3,22,3,49,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2021,6,30,4,17,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2021,8,31,17,0,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2021,11,4,15,53,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2021,4,18,5,48,12XX BURRARD ST,Central Business District,490501.3698,5458380.25
Break and Enter Commercial,2021,2,17,20,0,12XX BURRARD ST,Central Business District,490562.8367,5458441.007
Break and Enter Commercial,2021,12,22,21,30,12XX BUTE ST,West End,490290.4936,5458774.461
Break and Enter Commercial,2021,1,26,0,28,12XX CARTWRIGHT ST,Fairview,490310.9848,5457441.837
Break and Enter Commercial,2021,2,14,6,5,12XX COMMERCIAL DR,Grandview-Woodland,494943.4693,5457836.732
Break and Enter Commercial,2021,11,6,8,39,12XX DAVIE ST,West End,490290.4312,5458796.552
Break and Enter Commercial,2021,12,12,2,44,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.782
Break and Enter Commercial,2021,12,25,4,20,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.782
Break and Enter Commercial,2021,6,2,20,57,12XX E 27TH AVE,Kensington-Cedar Cottage,494195.572,5454864.577
Break and Enter Commercial,2021,1,15,10,34,12XX E 8TH AVE,Mount Pleasant,494266.4806,5456729.04
Break and Enter Commercial,2021,4,18,1,30,12XX E 8TH AVE,Mount Pleasant,494274.1557,5456738.11
Break and Enter Commercial,2021,6,21,17,55,12XX E HASTINGS ST,Strathcona,494250.7589,5458718.065
Break and Enter Commercial,2021,8,30,19,0,12XX FRANCES ST,Strathcona,494318.966,5458523.298
Break and Enter Commercial,2021,10,6,15,7,12XX GRANVILLE ST,Central Business District,490736.9133,5458181.044
Break and Enter Commercial,2021,11,27,2,0,12XX GRANVILLE ST,Central Business District,490745.3188,5458189.664
Break and Enter Commercial,2021,8,8,6,21,12XX HAMILTON ST,Central Business District,490978.5574,5457927.808
Break and Enter Commercial,2021,12,24,6,37,12XX HAMILTON ST,Central Business District,491007.7821,5457956.938
Break and Enter Commercial,2021,7,14,10,13,12XX HAMILTON ST,Central Business District,491023.1833,5457972.289
Break and Enter Commercial,2021,1,3,3,25,12XX HARWOOD ST,West End,490097.4768,5458687.577
Break and Enter Commercial,2021,1,11,18,44,12XX HARWOOD ST,West End,490097.4768,5458687.577
Break and Enter Commercial,2021,2,3,3,13,12XX HOMER ST,Central Business District,490933.6432,5457955.199
Break and Enter Commercial,2021,5,27,20,42,12XX HOMER ST,Central Business District,490933.6432,5457955.199
Break and Enter Commercial,2021,10,21,1,20,12XX HOMER ST,Central Business District,490990.5557,5458012.336
Break and Enter Commercial,2021,4,13,4,45,12XX HOMER ST,Central Business District,491030.8311,5458052.771
Break and Enter Commercial,2021,11,17,4,53,12XX HOMER ST,Central Business District,491030.8311,5458052.771
Break and Enter Commercial,2021,4,25,6,56,12XX HORNBY ST,Central Business District,490582.1086,5458308.109
Break and Enter Commercial,2021,9,12,19,0,12XX HOWE ST,Central Business District,490632.7791,5458236.781
Break and Enter Commercial,2021,1,18,4,52,12XX HOWE ST,Central Business District,490650.0979,5458241.187
Break and Enter Commercial,2021,1,27,1,54,12XX HOWE ST,Central Business District,490733.2331,5458324.464
Break and Enter Commercial,2021,1,9,9,3,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494230.6252,5455452.98
Break and Enter Commercial,2021,12,24,6,55,12XX KINGSWAY AVE,Kensington-Cedar Cottage,494247.8918,5455429.027
